Z,N
70.2547748716,160
92.2992510186,160
84.2843238878,159
87.3217448197,158
93.2889282817,157
93.3240824509,154
89.2542838928,150
93.2946495511,150
93.3042965409,150
86.2742380693,150
83.2596406664,150
93.2889511726,150
86.2541080521,150
88.3144365301,150
76.3086008753,150
82.2844059568,150
83.2888139107,150
92.3019117292,150
78.2859390387,150
85.2593814116,150
90.2542838928,150
84.2696517685,147
89.2843421509,143
93.2796925986,143
93.2970389924,140
93.2890258002,140
93.3191650229,140
92.3067528354,140
85.289360733,140
78.2889403724,140
69.2547748716,140
84.289360733,140
73.2599610268,140
91.2843237919,140
84.3015800839,140
87.3144365301,140
83.2293182614,140
87.3168654971,140
93.3006136624,140
93.2742019503,140
89.2789072625,140
83.2842717918,140
85.2993204628,137
93.2891808939,137
93.2857953928,137
90.3129689535,135
93.3024999909,134
93.2717344028,133
93.2694163455,130
92.2973486943,130
89.2688830039,130
87.2936514248,130
92.3041399204,130
88.2782371658,130
91.31439523,130
91.3019358202,130
70.2243040202,130
84.2688830039,130
93.2714915689,130
91.2387833022,128
74.2539531395,125
82.3143124723,124
93.2549387782,121
93.3157496061,120
77.2554253788,120
78.2718524988,120
78.2869234153,120
85.2391693678,120
81.2889720137,120
93.312253836,120
84.2842717918,120
82.273653348,120
91.2892530924,120
81.2783342018,120
89.2853894698,120
87.3043019321,120
75.2546120282,120
89.2967102334,120
88.2869234153,120
92.2892530924,120
80.2590943843,120
89.3006845122,120
93.279587603,114
85.2841008034,111
81.2696517685,110
89.3217449382,110
81.2399416742,110
76.2543035664,110
93.2944591414,110
92.3191174416,110
86.3115453205,110
80.263447366,110
79.2718524988,110
92.2869066995,110
83.30207681,110
81.2838930555,110
92.2953779423,110
93.3006417614,110
93.3041399204,110
85.2588534151,110
66.2234525444,110
93.2746761056,109
93.2986599732,109
79.3019118454,108
77.2889719631,105
82.2696517685,105
93.2503828725,105
75.2399416742,100
93.3067528354,100
91.2699594062,100
79.2590696879,100
83.2539535283,100
93.2893316323,100
83.2688830039,100
77.3019118454,100
90.2387833022,100
92.2890181277,100
85.2544478844,100
87.2688830039,100
90.2889636102,100
81.3156791198,100
92.272389565,100
91.2782371658,100
78.2540969623,100
93.3169460346,100
80.2540969623,100
93.3019117246,100
82.2842717918,100
86.3000099388,100
88.3169648784,100
85.2888646672,100
85.2856440382,100
86.2688830039,100
93.2892530924,100
91.2858025428,100
72.2688710151,100
93.2942835888,99
90.3099662206,98
81.2693595892,97
92.2717344028,96
86.3169648784,93
93.3226399418,93
91.3099662206,92
86.2841008034,92
87.2967102334,90
88.2859719598,90
93.3043475187,90
80.2796628949,90
85.2798054765,90
91.2816085261,90
75.2540571866,90
85.2536279515,90
78.2485790156,90
92.3219956456,90
84.2856404685,90
91.3157088982,90
86.3043821515,90
91.2492851124,90
91.2398078354,90
84.30207681,90
92.2393959336,90
89.2693194114,90
93.289268011,90
90.3019118148,90
76.2540571866,90
82.2738232431,90
81.2843237694,90
93.2908431058,90
77.2540969623,90
92.2853118718,90
88.2843421509,89
88.2843237919,88
92.2939350208,87
85.2967102334,85
87.2690139002,85
92.2694988989,82
82.3156791198,80
91.2744179234,80
82.2889720137,80
88.2967102334,80
91.2611727337,80
92.3041675598,80
91.2540759305,80
79.2841586853,80
92.2745286242,80
88.3043019321,80
87.2843491773,80
81.301912373,80
88.2688830039,80
83.304247279,80
89.3144365301,80
80.2593227315,80
88.2693194114,80
88.3217449382,80
93.3236767392,80
84.2888646672,80
93.3072018695,80
93.2940024206,80
90.2940019089,80
90.3217449382,80
86.2688725655,80
93.2849842743,80
92.2852328024,80
84.2841008034,78
75.2889719631,77
87.2841008034,77
91.2843491773,77
93.3097620791,75
93.2737359117,72
88.2843650882,70
78.2843237694,70
86.2199734055,70
71.2537876542,70
86.2536279515,70
85.2393341426,70
84.2888139107,70
76.2546120282,70
77.263447366,70
87.2541080521,70
78.2801007343,70
82.2891560983,70
78.2694119289,70
78.2543035664,70
84.2978884038,70
78.2387677874,70
83.2978884038,70
83.3156791198,70
79.263447366,70
79.2244065889,70
88.3147187214,70
81.2889403724,70
93.2229476701,70
89.2554766182,70
91.3041399204,70
91.2554766182,70
93.3037582528,70
91.2845602109,70
92.3040104162,70
92.3037582528,70
93.3090199914,70
91.2542838928,70
93.2532693843,70
90.2693194114,70
83.2841008034,68
90.2694988989,68
93.2992463136,68
91.2694988989,67
93.3133534556,66
81.2545194481,65
93.2864346246,63
90.3192612012,62
93.304609141,62
93.3089354832,61
76.2889719631,61
92.3090601248,60
86.2691857018,60
92.31439523,60
92.3099662206,60
78.2540655693,60
89.2892419005,60
86.2544478844,60
81.2842717918,60
79.2845706261,60
92.2282336609,60
92.3043475187,60
89.2948741867,60
81.2540969623,60
92.3019358202,60
89.2843237919,60
92.286013709,60
80.301912373,60
81.2887685814,60
91.2844896349,60
81.2532831126,60
83.2585905594,60
85.3040681723,60
85.3115453205,60
85.2816303472,60
84.2293182614,60
85.2691857018,60
90.2492851124,60
84.2890966042,60
84.3117984584,60
85.2585502977,60
90.2967102334,60
91.3019118148,60
91.2948935812,60
86.2782371658,60
91.2890258002,60
86.3019118148,60
83.3018566083,60
90.3099922433,60
82.2695224551,60
86.2888646672,60
91.2744872479,60
82.2891523634,60
82.2972252966,60
91.2591149972,60
89.2972597991,60
93.321825229,60
85.2890966042,60
74.2539522123,60
69.2285568393,60
88.2585845167,60
77.2540655693,60
73.269142607,60
77.2590943843,60
93.2797356949,60
73.2539522123,60
87.269385368,60
88.2542838928,60
93.3090532669,60
93.3122591789,60
88.2841008034,60
93.3176487685,60
93.294579637,60
87.2393341426,60
88.2199734055,60
89.3169648784,60
93.3090388021,58
92.3097620791,54
86.2967102334,52
89.2841008034,51
93.2940019089,50
82.2536885343,50
86.2936514248,50
82.2542735815,50
93.2992429896,50
93.2858025428,50
86.274502442,50
93.2891416354,50
90.3048259567,50
91.2694064565,50
78.2546186862,50
91.2891808939,50
93.2844896349,50
86.3144365301,50
90.2843237919,50
85.2972252966,50
93.223410585,50
61.2243040202,50
90.2796925986,50
90.2741413414,50
93.2369500888,50
84.2542735815,50
84.2688725655,50
93.2544164688,50
93.2690711443,50
91.3048259567,50
93.2699594062,50
83.2393341426,50
88.2691857018,50
85.2541080521,50
83.2540969623,50
72.2542858283,50
72.2542838928,50
90.3021759641,50
86.3192612012,50
86.3173049282,50
89.3090580126,50
93.300691809,50
89.2973486943,50
87.3019118148,50
92.2844071902,50
81.2868602231,50
77.2543035664,50
81.3143124723,50
79.2783342018,50
92.2945280832,50
80.2532831126,50
79.2546186862,50
89.3054979246,50
92.2598594506,50
80.269025592,50
79.2540969623,50
80.2806678475,50
80.2838930555,50
87.2972252966,50
87.2590696879,50
81.2888646672,50
92.3217449382,50
93.3045068482,50
92.3192488211,50
92.3157088982,50
89.3019118148,50
93.309943877,50
81.2547951359,50
79.2889403724,50
93.3111457514,50
92.3127170065,50
76.2285568393,50
92.2503828725,49
91.2969996966,49
90.2940143044,49
89.3090408709,48
93.3235738678,48
81.2843233715,48
90.2892419005,45
85.2696517685,44
91.2503828725,43
92.2690758114,42
90.2843491773,42
84.3054109452,40
92.263447366,40
90.2834945809,40
79.2232634069,40
79.2843237694,40
91.3176487685,40
69.2542827845,40
90.2597052434,40
90.263447366,40
93.2384434168,40
92.2540759305,40
90.2694064565,40
84.2536279515,40
62.2243040202,40
93.313015283,40
81.2546186862,40
80.2868602231,40
77.2694119289,40
76.2541215107,40
93.2995218936,40
82.304247279,40
77.3086008753,40
81.2713108222,40
92.3129455349,40
91.263447366,40
82.2888139107,40
91.2693194114,40
93.2938365165,40
77.2718524988,40
82.2540969623,40
91.2799677835,40
71.2409196108,40
73.2688762935,40
83.3016996922,40
83.2888646672,40
80.2546186862,40
91.2948125423,40
93.2799499014,40
92.2843237919,40
80.2738782319,40
91.2953779423,40
92.2796186597,40
83.2542735815,40
91.303952699,40
82.2891913079,40
88.2849136046,40
89.2744179234,40
90.2992429896,40
89.2891912379,40
85.2690139002,40
85.263447366,40
90.2892530924,40
86.2690139002,40
86.269385368,40
87.2590040405,40
87.2986270112,40
89.2594687091,40
89.258715566,40
88.2540759305,40
86.2816746315,40
86.2843237919,40
90.2870357701,40
87.2992429896,40
88.3019118148,40
90.2866571426,40
88.2590040405,40
86.3016996922,40
83.301912373,39
91.3041335865,39
92.258715566,36
88.3129689535,36
73.2542858283,35
90.2888973161,35
90.284189564,32
86.2843238878,31
92.2690242185,31
89.2694988989,31
80.2543035664,30
89.2741338752,30
89.269385368,30
89.2694064565,30
92.2782371658,30
92.3083161643,30
92.3019118148,30
80.2544478844,30
92.2972152452,30
81.31439552,30
87.3115453205,30
80.2540655693,30
80.2783342018,30
91.2866571426,30
92.2799499014,30
92.2880230691,30
92.3129689535,30
86.2596406664,30
89.263447366,30
82.2742675918,30
82.2596406664,30
82.2843233715,30
82.2978884038,30
82.2590696879,30
82.2992034744,30
91.2796186597,30
82.2532831126,30
91.2544164688,30
86.2740296234,30
86.263447366,30
81.2536885343,30
86.2972252966,30
91.283113262,30
81.2544478844,30
91.2836586774,30
86.2693194114,30
92.3172895403,30
81.2694064565,30
86.264041688,30
89.2690139002,30
79.2540655693,30
80.2887685814,30
93.3078993366,30
93.3042212647,30
93.303952699,30
76.2540969623,30
93.3018808602,30
87.2253200426,30
88.3122562188,30
93.2913141719,30
93.2910993588,30
93.2901937001,30
88.2541080521,30
93.2873821795,30
74.269142607,30
93.287251603,30
73.2540571866,30
88.2992429896,30
93.2842820495,30
88.2590696879,30
93.2798372423,30
93.2744649655,30
93.272389565,30
88.2640375387,30
93.263447366,30
93.2547796659,30
88.2891560983,30
69.2542858283,30
93.3053989546,30
77.2546186862,30
80.2889403724,30
77.2546120282,30
80.2889720137,30
92.2640375387,30
79.2539590148,30
90.3083161643,30
92.2598500864,30
79.301912373,30
93.324286603,30
87.284189564,30
78.2546120282,30
89.2992429896,30
78.2554253788,30
87.2782371658,30
78.263447366,30
93.3140524638,30
78.2841586853,30
93.3132494363,30
78.2845706261,30
87.2740296234,30
93.311574974,30
93.3100310393,30
93.3098842603,30
87.2693770072,30
87.2693194114,30
87.2691857018,30
89.3021907003,30
83.2890966042,30
90.2844896349,30
91.2967102334,30
90.2554766182,30
83.263447366,30
90.2540759305,30
83.2585502977,30
91.3217449382,30
90.2591149972,30
85.2742675918,30
83.2887685814,30
85.3016996922,30
84.2694064565,30
85.2540759305,30
90.2891912379,30
91.2992429896,30
83.2693595892,30
85.2542735815,30
84.302570626,30
84.3040681723,30
90.3019358202,30
90.2841008034,30
84.304247279,30
91.3083161643,30
84.263447366,30
85.264041688,30
90.2688830039,30
84.2713108222,30
89.2503828725,29
93.2866532502,29
92.3240824509,29
74.2542858283,26
93.2892283488,26
92.29933854,25
89.2693770072,24
84.3005807709,24
93.2694988989,24
86.2693770072,24
93.3175456093,23
89.2843491773,22
88.2843491773,22
82.301912373,21
91.3192612012,21
91.3098278472,21
72.2409196108,20
93.2796469251,20
92.2694943237,20
72.2547748716,20
80.2844059568,20
89.2889636102,20
92.2691813349,20
84.2891560983,20
85.3015800839,20
76.2801007343,20
80.2693595892,20
72.2387574924,20
80.3016996922,20
92.2690711443,20
88.2547796659,20
90.2870247928,20
89.2891560983,20
85.3043821515,20
87.2892419005,20
71.2242009634,20
87.3005971214,20
90.2369500888,20
80.2387677874,20
92.3006417614,20
92.3006136624,20
88.2694988989,20
92.2992429896,20
88.2870357701,20
92.296859376,20
88.2890450473,20
84.3043821515,20
85.2891560983,20
80.263802531,20
88.2892419005,20
80.2540448396,20
71.269142607,20
85.2843234821,20
80.2541080521,20
87.3043821515,20
80.2547951359,20
92.2842820495,20
92.2589387008,20
92.2547796659,20
93.2994754101,20
75.2554253788,20
90.2699594062,20
85.2797285481,20
89.3019358202,20
93.2928072267,20
93.3097087794,20
88.3115453205,20
75.2590641621,20
84.264041688,20
85.2782371658,20
89.3007210178,20
87.264041688,20
84.2544478844,20
93.2972927846,20
85.2694064565,20
77.274171139,20
93.3041765769,20
84.2540759305,20
